ENSG00000011332	DPF1	0	0.1	0	0.1	0	0	5	0	0	0	0	0.1	0	0	0	0	0	0.1	0	0	0	0	0.1	0	0.1	0	0.1	0	0	0.6	0	0
ENSG00000038274	MAT2B	12	19	26	28	29	10	13	23	30	19	14	28	17	16	28	12	22	40	3	17	17	24	14	6	12	29	14	33	20	13	30	33
ENSG00000080608	KIAA0020	8	13	14	21	13	9	4	11	9	12	14	11	10	5	9	5	8	16	3	13	10	13	5	1	10	8	9	11	9	14	9	16
ENSG00000084092	NOA1	6	5	8	7	8	7	4	9	10	7	6	11	6	4	5	2	6	9	4	5	7	8	6	4	9	8	6	7	7	5	7	11
ENSG00000104435	STMN2	0.5	36	0	7	0.3	0	256	11	9	0.6	0	0	2	0	0.2	0.2	0	0.6	0.9	0.1	0.8	19	0.5	0	7	12	2	1	1	0.5	0	0.8
ENSG00000108602	ALDH3A1	0.1	0.2	0.1	0.2	3	0	0.1	1	2	0.1	114	2	2	0	0.2	0.4	1	0.1	0	0	0.4	1	0.1	0	19	1	0.1	0.3	80	0.8	0.1	7
ENSG00000112096	SOD2	29	22	13	156	57	52	18	20	13	13	18	12	32	31	30	63	23	21	6	12	20	17	14	27	9	11	16	13	13	7	11	20
ENSG00000115306	SPTBN1	82	42	35	21	24	15	59	32	17	29	20	28	42	42	35	27	93	16	7	39	23	30	20	9	21	23	28	37	29	24	41	14
ENSG00000118705	RPN2	47	89	61	101	108	85	41	101	82	85	62	101	86	40	63	57	79	76	22	172	127	116	75	17	60	70	105	80	92	123	167	104
ENSG00000119318	RAD23B	52	42	29	39	37	46	39	41	31	38	45	39	33	24	33	55	33	30	14	60	41	38	18	39	49	31	42	30	33	47	33	43
ENSG00000120254	MTHFD1L	1	4	6	6	4	3	3	2	1	3	1	3	3	0.9	2	0.8	3	5	1	6	1	3	0.4	0	2	1	4	4	2	5	5	6
ENSG00000122406	RPL5	233	325	908	282	283	351	91	309	228	442	246	430	192	131	197	107	175	435	142	203	293	266	225	101	329	207	280	281	247	120	322	424
ENSG00000127184	COX7C	92	86	71	67	45	47	57	117	117	41	37	53	43	140	146	64	51	56	20	45	75	75	68	162	29	118	38	64	84	45	47	65
ENSG00000130203	APOE	146	443	38	27	20	5	152	30	12	8	0.9	7	31	6	400	381	21	72	2	41	6	7	10	4	21	16	4	220	39	32	4	16
ENSG00000130204	TOMM40	7	11	7	12	7	10	7	10	11	7	9	9	5	8	5	3	6	11	3	8	7	9	5	5	9	9	6	8	5	8	7	10
ENSG00000136717	BIN1	8	14	8	8	9	3	25	6	5	6	6	9	8	1	15	2	5	13	1	9	10	4	3	162	2	5	5	17	7	4	5	7
ENSG00000140945	CDH13	5	0.7	0.8	1	2	0	13	1	0.5	14	2	2	2	11	1	0.2	5	0.5	0.1	2	1	1	0.2	6	6	0.7	7	1	0.2	0.7	1	0.9
ENSG00000142168	SOD1	82	162	89	43	42	42	110	83	116	45	36	71	65	69	148	272	43	59	9	49	73	56	21	48	32	87	37	45	48	53	47	51
ENSG00000145335	SNCA	1	2	7	2	2	34	80	1	0.7	10	2	1	2	2	2	0.3	2	0.4	0.1	3	3	1	1	0	4	1	8	2	0.4	0.7	3	0.9
ENSG00000151413	NUBPL	3	3	2	1	2	0.5	2	3	2	2	2	3	2	4	3	2	2	2	0.5	2	2	3	3	2	2	2	2	2	2	2	3	2
ENSG00000157087	ATP2B2	0	0.4	0	0	0	0	27	0	0.1	0.7	0.1	3	0	0	0.1	3	0	0.1	0	0	0	0.1	10	8	0.2	0.1	0.5	0.1	0	0.5	0	0
ENSG00000165733	BMS1	6	7	8	10	7	7	6	7	5	9	7	8	6	4	6	4	6	10	2	7	7	8	5	5	9	5	7	8	6	9	7	11
ENSG00000166796	LDHC	0	0	0	0	0.2	0.1	0	0	0.1	0	0.2	0	0	0	0.3	0.2	0	0	0.2	0	0	0	0.1	0	0	0.7	0	0	0	207	0.5	0
ENSG00000168314	MOBP	0	0	0.1	0	0	0	44	0.1	0	0	0	0.3	0	0	0	0.3	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	1	0	0
ENSG00000172115	CYCS	31	42	9	36	30	20	48	95	57	17	35	15	22	117	43	22	15	24	4	15	20	81	16	61	12	45	30	16	39	22	30	28
ENSG00000182512	GLRX5	11	18	11	8	8	37	9	14	15	8	7	9	8	14	18	18	8	10	3	15	9	11	6	21	7	12	6	9	12	19	10	8
ENSG00000183023	SLC8A1	1	2	0.7	3	2	0.3	4	0.9	2	6	1	2	2	18	4	0.5	2	1	0.1	2	5	1	0.2	0.1	0.8	2	7	3	1	0.3	0.3	0.5
ENSG00000185666	SYN3	0.1	0.2	0	0.1	0.1	0	2	0.1	0	0.1	0.1	0.2	0.1	0.1	0.2	0	0.2	0.1	0	0.7	0	0.1	0.1	0	0	0.1	0.1	0.5	0.1	2	0.1	0.1
ENSG00000189283	FHIT	0.8	2	1	2	0.8	1	1	0.7	1	0.7	0.5	2	4	1	3	0.5	0.6	3	0.5	0.6	0.9	1	1	0.6	0.9	0.9	0.8	2	1	1	2	1
